Branch,Placed (%)
,
Bio-Technology,52.83%
,
Civil Engineering,55.75%
,
Computer Engineering,90.50%
,
Electrical Engineering,76.29%
,
Electronics and Communication Engineering,80.87%
,
Engineering Physics,68.29%
,
Environmental Engineering,52.83%
,
Information Technology,81.45%
,
Mathematics and Computing,85.83%
,
Mechanical Engineering,75.10%
,
Mechanical Engineering with Specialization in Automotive,61.67%
,
Polymer Science and Chemical Technology,68.97%
,
Production and Industrial Engineering,55.00%
,
Software Engineering,95.12%
,
Overall,71.46%
